Name,Gender,Age,Country,NOC,Year,City,Sport,Event,Medal
Julius Achon,M,23.0,Uganda,UGA,2000,Sydney,Athletics,"Athletics Men's 1,500 metres",None
Urban Acman,M,24.0,Slovenia,SLO,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,None
"\"Amelia Lynn \"\"Amy\"\" Acuff (-Harvey)\"",F,25.0,United States,USA,2000,Sydney,Athletics,Athletics Women's High Jump,None
Ali Enver Adakan,M,23.0,Turkey,TUR,2000,Sydney,Sailing,Sailing Men's One Person Dinghy,None
David Dixie Adams,M,30.0,South Africa,RSA,2000,Sydney,Tennis,Tennis Men's Doubles,None
"\"Gerard \"\"Gerry\"\" Adams\"",M,38.0,Australia,AUS,2000,Sydney,Fencing,"Fencing Men's epee, Individual",None
"\"Gerard \"\"Gerry\"\" Adams\"",M,38.0,Australia,AUS,2000,Sydney,Fencing,"Fencing Men's epee, Team",None
Charles Adamu,M,23.0,Ghana,GHA,2000,Sydney,Boxing,Boxing Men's Light-Heavyweight,None
Mehdi Addadi,M,28.0,Algeria,ALG,2000,Sydney,Swimming,Swimming Men's 100 metres Backstroke,None
Mehdi Addadi,M,28.0,Algeria,ALG,2000,Sydney,Swimming,Swimming Men's 100 metres Butterfly,None
Carolyn Adel,F,22.0,Suriname,SUR,2000,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,None
Carolyn Adel,F,22.0,Suriname,SUR,2000,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,None
Ibrahim Mohamed Aden Gedi,M,27.0,Somalia,SOM,2000,Sydney,Athletics,"Athletics Men's 1,500 metres",None
Berhane Adere Debala,F,27.0,Ethiopia,ETH,2000,Sydney,Athletics,"Athletics Women's 10,000 metres",None
Adel Mohamed Adili,M,26.0,Libya,LBA,2000,Sydney,Athletics,Athletics Men's Marathon,None
Franck Adisson,M,31.0,France,FRA,2000,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",None
Amanda Jo Adkins (-Schneider),F,23.0,United States,USA,2000,Sydney,Swimming,Swimming Women's 200 metres Backstroke,None
Christopher Silas Adolf,M,24.0,Palau,PLW,2000,Sydney,Athletics,Athletics Men's 100 metres,None
Dainius Adomaitis,M,26.0,Lithuania,LTU,2000,Sydney,Basketball,Basketball Men's Basketball,Bronze
Daniel Adomako,M,20.0,Ghana,GHA,2000,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,None
Neil Isaac Adonis,M,31.0,South Africa,RSA,2000,Sydney,Baseball,Baseball Men's Baseball,None
Adriana Aparecida dos Santos,F,29.0,Brazil,BRA,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
Sharnol Leonard Adriana,M,29.0,Netherlands,NED,2000,Sydney,Baseball,Baseball Men's Baseball,None
"\"Adriana \"\"Adrianinha\"\" Moiss Pinto\"",F,21.0,Brazil,BRA,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
Martha Adusei,F,24.0,Canada,CAN,2000,Sydney,Athletics,Athletics Women's 100 metres,None
Martha Adusei,F,24.0,Canada,CAN,2000,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,None
Rustam Iwanovych Adzhy,M,27.0,Ukraine,UKR,2000,Sydney,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",None
Shimaa Afifi,F,19.0,Egypt,EGY,2000,Sydney,Taekwondo,Taekwondo Women's Featherweight,None
Madjid Aflaki Khamesh,M,27.0,Iran,IRI,2000,Sydney,Taekwondo,Taekwondo Men's Welterweight,None
"\"Olabisi \"\"Bisi\"\" Afolabi\"",F,24.0,Nigeria,NGR,2000,Sydney,Athletics,Athletics Women's 400 metres,None
"\"Olabisi \"\"Bisi\"\" Afolabi\"",F,24.0,Nigeria,NGR,2000,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,None
Georgios Afroudakis,M,23.0,Greece,GRE,2000,Sydney,Water Polo,Water Polo Men's Water Polo,None
Aleksandr Agafonov,M,25.0,Uzbekistan,UZB,2000,Sydney,Swimming,Swimming Men's 100 metres Freestyle,None
Victor Okechukwu Agali,M,21.0,Nigeria,NGR,2000,Sydney,Football,Football Men's Football,None
Eldijana Dana Aganovi (-Bentsen),F,28.0,Croatia,CRO,2000,Sydney,Table Tennis,Table Tennis Women's Singles,None
Eldijana Dana Aganovi (-Bentsen),F,28.0,Croatia,CRO,2000,Sydney,Table Tennis,Table Tennis Women's Doubles,None
Francilla Agar (-Schofield),F,25.0,Dominica,DMA,2000,Sydney,Swimming,Swimming Women's 50 metres Freestyle,None
Jesper Agergrd Jensen,M,25.0,Denmark,DEN,2000,Sydney,Cycling,"Cycling Men's Mountainbike, Cross-Country",None
Julius Aghahowa,M,18.0,Nigeria,NGR,2000,Sydney,Football,Football Men's Football,None
Marilyn Agliotti,F,21.0,South Africa,RSA,2000,Sydney,Hockey,Hockey Women's Hockey,None
"\"Jeffrey Allan \"\"Jeff\"\" Agoos\"",M,32.0,United States,USA,2000,Sydney,Football,Football Men's Football,None
"\"Taismary \"\"Tai\"\" Agero Leiva (-Botteghi)\"",F,23.0,Cuba,CUB,2000,Sydney,Volleyball,Volleyball Women's Volleyball,Gold
Joo Paquete Aguiar,M,17.0,Angola,ANG,2000,Sydney,Swimming,Swimming Men's 50 metres Freestyle,None
Ana Carolina Aguilera,F,19.0,Argentina,ARG,2000,Sydney,Swimming,Swimming Women's 200 metres Butterfly,None
Yosvany Aguilera Zamora,M,25.0,Cuba,CUB,2000,Sydney,Boxing,Boxing Men's Featherweight,None
Gustavo Hernando Aguirre,M,23.0,Argentina,ARG,2000,Sydney,Athletics,Athletics Men's 400 metres,None
Diego Aguirregomezcorta,M,25.0,Argentina,ARG,2000,Sydney,Rowing,Rowing Men's Coxless Pairs,None
Albert Agyemang,M,22.0,Ghana,GHA,2000,Sydney,Athletics,Athletics Men's 200 metres,None
"\"Nicholas Mark \"\"Nick\"\" A'Hern\"",M,31.0,Australia,AUS,2000,Sydney,Athletics,Athletics Men's 20 kilometres Walk,None
Robyn Mokihana Ah Mow-Santos,F,24.0,United States,USA,2000,Sydney,Volleyball,Volleyball Women's Volleyball,None
Maqsood Ahmad,M,23.0,Pakistan,PAK,2000,Sydney,Athletics,Athletics Men's 200 metres,None
Waseem Ahmad,M,23.0,Pakistan,PAK,2000,Sydney,Hockey,Hockey Men's Hockey,None
Jrg Ahmann,M,34.0,Germany-1,GER,2000,Sydney,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
